"","harass5","emailmin","emailhr","educ","polviews","advfront","snapchat","instagrm","wrkstat"
"1461",NA,20,0,13,"Moderate","Agree",NA,NA,"Working fulltime"
"1462","No",2,0,15,"Liberal",NA,"Yes","No","Working fulltime"
"1463","No",NA,NA,13,"Liberal",NA,"Yes","Yes","Working parttime"
"1464",NA,0,0,11,"Moderate","Agree","No","No","Working fulltime"
"1465","No",NA,NA,12,"Slghtly conservative",NA,"No","No","Working fulltime"
"1466","No",NA,NA,14,"Conservative",NA,NA,NA,"Retired"
"1467","Does not apply (i do not have a job/superior/co-worker)",NA,NA,11,"Extrmly conservative",NA,NA,NA,"Retired"
"1468","No",NA,NA,18,"Conservative",NA,"No","No","Working fulltime"
"1469",NA,0,1,14,"Liberal","Strongly agree","Yes","Yes","Working fulltime"
"1470",NA,0,1,14,"Slghtly conservative","Agree",NA,NA,"Working parttime"
"1471",NA,0,1,12,"Moderate","Agree",NA,NA,"Working fulltime"
"1472",NA,0,2,20,"Conservative","Agree",NA,NA,"Retired"
"1473",NA,0,3,16,"Slghtly conservative","Strongly agree","No","Yes","Keeping house"
"1474",NA,0,3,14,"Conservative","Disagree",NA,NA,"Retired"
"1475","No",NA,NA,13,"Moderate",NA,"No","Yes","Retired"
"1476",NA,NA,NA,12,"Moderate","Agree",NA,NA,"Working parttime"
"1477",NA,0,10,12,"Extrmly conservative","Disagree",NA,NA,"Keeping house"
"1478","No",NA,NA,15,"Moderate",NA,"No","Yes","Working fulltime"
"1479",NA,0,2,12,"Moderate","Agree","Yes","Yes","Keeping house"
"1480","No",0,8,13,"Conservative",NA,"No","No","Working fulltime"
"1481",NA,0,6,16,"Conservative","Strongly agree",NA,NA,"Working fulltime"
"1482",NA,0,5,14,"Conservative","Agree","No","No","Working fulltime"
"1483",NA,0,0,9,"Moderate","Strongly agree",NA,NA,"Working fulltime"
"1484","No",NA,NA,11,"Extrmly conservative",NA,"No","No","Working parttime"
"1485",NA,48,0,12,"Slightly liberal","Agree","No","No","Working parttime"
"1486","Yes",NA,NA,20,"Moderate",NA,"No","No","Working fulltime"
"1487","No",0,7,11,"Slghtly conservative",NA,"No","Yes","Working fulltime"
"1488",NA,NA,NA,12,"Moderate",NA,NA,NA,"Keeping house"
"1489","No",NA,NA,12,"Conservative",NA,"No","No","Working fulltime"
"1490","No",NA,NA,19,"Slghtly conservative",NA,"No","No","Working fulltime"
"1491","No",0,50,16,"Slightly liberal",NA,"Yes","Yes","Working fulltime"
"1492",NA,0,50,14,"Conservative","Agree",NA,NA,"Other"
"1493",NA,0,25,14,"Moderate","Strongly agree",NA,NA,"Working fulltime"
"1494","No",NA,NA,13,"Conservative",NA,"No","No","Working fulltime"
"1495","No",0,30,16,"Slightly liberal",NA,"No","No","Working fulltime"
"1496",NA,0,3,15,"Moderate","Agree",NA,NA,"Working fulltime"
"1497","No",NA,NA,12,"Slightly liberal",NA,"No","No","Working fulltime"
"1498",NA,0,0,6,"Slghtly conservative","Strongly agree",NA,NA,"Keeping house"
"1499",NA,0,2,17,"Slghtly conservative","Strongly agree",NA,NA,"Working fulltime"
"1500","No",NA,NA,14,"Slightly liberal",NA,"No","No","Working fulltime"
"1501",NA,0,30,18,"Moderate","Strongly agree","Yes","Yes","Working fulltime"
"1502","No",NA,NA,16,"Moderate",NA,"Yes","Yes","Working fulltime"
"1503",NA,0,25,17,"Conservative","Strongly agree",NA,NA,"Working fulltime"
"1504","No",0,8,17,"Conservative",NA,"Yes","No","Working fulltime"
"1505",NA,0,1,17,"Extremely liberal","Strongly agree",NA,NA,"Working parttime"
"1506","Yes",NA,NA,12,"Conservative",NA,"No","No","Working fulltime"
"1507","Does not apply (i do not have a job/superior/co-worker)",NA,NA,12,"Moderate",NA,"No","No","Retired"
"1508","No",NA,NA,12,"Moderate",NA,"Yes","Yes","Working parttime"
"1509",NA,15,0,12,NA,"Agree","No","No","Retired"
"1510","No",NA,NA,16,"Moderate",NA,"No","No","Working fulltime"
"1511","Does not apply (i do not have a job/superior/co-worker)",NA,NA,16,"Moderate",NA,NA,NA,"Retired"
"1512","No",10,0,16,"Slghtly conservative",NA,"No","No","Working fulltime"
"1513","No",NA,NA,12,"Moderate",NA,"Yes","Yes","Working fulltime"
"1514","No",NA,NA,16,"Liberal",NA,NA,NA,"Retired"
"1515","No",0,3,12,NA,NA,"Yes","Yes","School"
"1516",NA,0,0,14,"Conservative","Agree",NA,NA,"Working parttime"
"1517","No",NA,NA,15,"Slghtly conservative",NA,"Yes","Yes","School"
"1518","Does not apply (i do not have a job/superior/co-worker)",NA,NA,12,"Moderate",NA,NA,NA,"Retired"
"1519",NA,10,0,15,"Slghtly conservative","Strongly agree",NA,NA,"Working fulltime"
"1520","Does not apply (i do not have a job/superior/co-worker)",NA,NA,0,NA,NA,NA,NA,"Keeping house"
"1521",NA,0,1,13,"Moderate","Disagree","No","No","Retired"
"1522","Does not apply (i do not have a job/superior/co-worker)",NA,NA,12,"Extrmly conservative",NA,NA,NA,"Other"
"1523",NA,0,6,16,"Conservative","Strongly agree",NA,NA,"Working fulltime"
"1524",NA,0,2,14,"Moderate","Agree","No","No","Retired"
"1525",NA,NA,NA,8,"Conservative","Agree",NA,NA,"Retired"
"1526","Does not apply (i do not have a job/superior/co-worker)",NA,NA,12,NA,NA,"No","No","Retired"
"1527","No",0,6,16,"Moderate",NA,"No","No","Unempl, laid off"
"1528",NA,0,0,16,"Liberal","Strongly agree","No","No","Other"
"1529",NA,NA,NA,12,"Slightly liberal","Agree",NA,NA,"Retired"
"1530","No",NA,NA,20,"Conservative",NA,"No","No","Working fulltime"
"1531",NA,0,20,18,"Liberal","Strongly agree",NA,NA,"Working fulltime"
"1532","No",NA,NA,14,"Conservative",NA,NA,NA,"Retired"
"1533",NA,0,2,20,"Liberal","Strongly agree","Yes","Yes","Working fulltime"
"1534","Yes",0,0,18,"Conservative",NA,NA,NA,"Retired"
"1535",NA,0,1,12,"Liberal","Agree","No","No","Temp not working"
"1536",NA,0,5,18,"Liberal","Agree",NA,NA,"Working fulltime"
"1537","No",NA,NA,19,"Extremely liberal",NA,"No","No","Working fulltime"
"1538",NA,0,2,16,"Slghtly conservative","Agree","No","No","Working fulltime"
"1539",NA,0,3,14,"Conservative","Disagree",NA,NA,"Retired"
"1540","Yes",NA,NA,13,"Extrmly conservative",NA,NA,NA,"Unempl, laid off"
"1541","No",0,5,11,"Moderate",NA,"No","Yes","Working fulltime"
"1542","No",NA,NA,13,"Slghtly conservative",NA,NA,NA,"Working parttime"
"1543","No",0,4,12,"Moderate",NA,"No","Yes","Keeping house"
"1544",NA,0,1,15,"Conservative","Agree",NA,NA,"School"
"1545",NA,0,1,8,"Conservative","Agree","No","No","Working parttime"
"1546",NA,0,2,18,"Extremely liberal","Agree",NA,NA,"Retired"
"1547","No",NA,NA,11,"Liberal",NA,"No","Yes","Working parttime"
"1548",NA,0,2,12,"Moderate","Strongly agree","No","Yes","Working parttime"
"1549","Yes",NA,NA,16,"Liberal",NA,"No","No","Working fulltime"
"1550","No",0,0,12,"Liberal",NA,NA,NA,"Retired"
"1551",NA,0,7,17,NA,"Agree","No","Yes","Keeping house"
"1552","No",0,40,16,"Extremely liberal",NA,"No","No","Working fulltime"
"1553",NA,30,0,14,"Liberal","Strongly agree",NA,NA,"Working fulltime"
"1554","Yes",NA,NA,14,"Liberal",NA,"No","No","Working fulltime"
"1555",NA,10,0,12,"Slghtly conservative","Agree",NA,NA,"Working fulltime"
"1556",NA,0,2,12,"Moderate","Agree",NA,NA,"Working fulltime"
"1557","Yes",NA,NA,12,"Moderate",NA,"No","No","Working parttime"
"1558","No",NA,NA,12,"Moderate",NA,NA,NA,"Retired"
"1559",NA,NA,NA,NA,NA,NA,NA,NA,"Working fulltime"
"1560",NA,0,15,16,"Slghtly conservative","Strongly agree",NA,NA,"Working fulltime"
"1561","Does not apply (i do not have a job/superior/co-worker)",NA,NA,16,"Moderate",NA,NA,NA,"Retired"
"1562",NA,0,1,16,"Moderate","Agree",NA,NA,"Working parttime"
"1563","No",NA,NA,12,"Moderate",NA,NA,NA,"Retired"
"1564",NA,0,12,13,"Moderate","Strongly agree","Yes","Yes","Temp not working"
"1565",NA,0,30,12,"Conservative","Agree",NA,NA,"Working fulltime"
"1566","Yes",NA,NA,14,"Moderate",NA,"No","No","Keeping house"
"1567",NA,0,7,11,"Moderate","Strongly agree",NA,NA,"Other"
"1568","No",NA,NA,18,"Slightly liberal",NA,NA,NA,"Working fulltime"
"1569",NA,0,5,20,"Liberal","Strongly disagree",NA,NA,"Retired"
"1570","No",NA,NA,19,"Moderate",NA,"No","No","Working parttime"
"1571","No",0,10,16,"Liberal",NA,"No","No","Working fulltime"
"1572",NA,0,20,16,"Liberal","Agree",NA,NA,"Working fulltime"
"1573","No",NA,NA,18,"Liberal",NA,"No","No","Working fulltime"
"1574","No",NA,NA,13,"Liberal",NA,"No","Yes","Working fulltime"
"1575",NA,0,15,18,"Slightly liberal","Strongly agree",NA,NA,"Working fulltime"
"1576","No",NA,NA,16,"Liberal",NA,"No","No","Temp not working"
"1577","No",NA,NA,11,"Moderate",NA,"No","No","Other"
"1578","Does not apply (i do not have a job/superior/co-worker)",NA,NA,9,"Moderate",NA,NA,NA,"Retired"
"1579","No",NA,NA,10,"Moderate",NA,"No","No","Unempl, laid off"
"1580",NA,NA,NA,10,"Moderate","Strongly agree",NA,NA,"Unempl, laid off"
"1581",NA,0,5,12,"Moderate","Disagree",NA,NA,"Working fulltime"
"1582",NA,20,0,18,"Slightly liberal","Agree",NA,NA,"Retired"
"1583","No",NA,NA,14,"Moderate",NA,"No","No","Working fulltime"
"1584","No",0,60,16,NA,NA,"No","No","Keeping house"
"1585",NA,0,2,13,"Slghtly conservative","Agree",NA,NA,"Working fulltime"
"1586",NA,0,0,9,NA,"Agree",NA,NA,"Other"
"1587","No",NA,NA,14,"Moderate",NA,"Yes","Yes","Working fulltime"
"1588","No",NA,NA,18,"Slightly liberal",NA,"No","Yes","Working parttime"
"1589",NA,0,1,14,"Liberal","Strongly agree","Yes","Yes","Working fulltime"
"1590",NA,10,0,14,"Conservative","Disagree",NA,NA,"Working fulltime"
"1591","No",NA,NA,12,"Slghtly conservative",NA,"No","No","Retired"
"1592",NA,0,7,13,"Moderate","Agree","No","No","Retired"
"1593",NA,30,0,16,"Moderate","Strongly agree",NA,NA,"Retired"
"1594","No",NA,NA,14,"Slghtly conservative",NA,"No","No","Working fulltime"
"1595","No",NA,NA,16,"Moderate",NA,"No","No","Working fulltime"
"1596","Yes",NA,NA,20,"Liberal",NA,"No","No","Working fulltime"
"1597","No",NA,NA,12,"Moderate",NA,NA,NA,"Retired"
"1598",NA,0,2,12,"Slghtly conservative","Disagree",NA,NA,"Retired"
"1599","No",NA,NA,14,NA,NA,NA,NA,"Working fulltime"
"1600",NA,0,1,13,"Extrmly conservative","Agree",NA,NA,"Working fulltime"
"1601","No",NA,NA,12,NA,NA,NA,NA,"Retired"
"1602","No",0,3,13,"Moderate",NA,"No","No","Working fulltime"
"1603","No",NA,NA,12,"Conservative",NA,"No","No","Working fulltime"
"1604",NA,0,2,14,"Moderate","Strongly agree",NA,NA,"Keeping house"
"1605","No",NA,NA,12,"Slghtly conservative",NA,NA,NA,"Working parttime"
"1606","No",NA,NA,14,"Conservative",NA,NA,NA,"Other"
"1607","No",0,8,13,"Slghtly conservative",NA,"Yes","Yes","Working fulltime"
"1608","Does not apply (i do not have a job/superior/co-worker)",NA,NA,10,"Liberal",NA,NA,NA,"Unempl, laid off"
"1609","No",NA,NA,7,NA,NA,NA,NA,"Retired"
"1610","No",0,4,12,NA,NA,"Yes","No","Keeping house"
"1611","Yes",0,50,12,"Moderate",NA,"Yes","Yes","Working fulltime"
"1612","Yes",NA,NA,14,"Extremely liberal",NA,"Yes","Yes","Working fulltime"
"1613",NA,40,0,12,"Slghtly conservative","Agree",NA,NA,"Working fulltime"
"1614","No",0,25,14,"Conservative",NA,"No","No","Working fulltime"
"1615","No",NA,NA,12,"Moderate",NA,NA,NA,"Working parttime"
"1616",NA,0,0,12,"Slghtly conservative","Agree",NA,NA,"Retired"
"1617","Yes",NA,NA,14,"Extremely liberal",NA,"No","Yes","Working fulltime"
"1618","Yes",0,35,17,"Slghtly conservative",NA,"No","No","Working fulltime"
"1619",NA,10,0,14,"Liberal","Disagree",NA,NA,"Temp not working"
"1620","No",NA,NA,16,"Conservative",NA,"No","No","Working parttime"
"1621","No",0,45,16,"Slightly liberal",NA,"No","No","Working fulltime"
"1622","Yes",NA,NA,12,"Moderate",NA,NA,NA,"Working fulltime"
"1623",NA,30,0,10,"Moderate","Agree","No","No","Keeping house"
"1624",NA,0,1,12,"Moderate","Agree",NA,NA,"Retired"
"1625","No",NA,NA,16,"Slghtly conservative",NA,"No","No","Working parttime"
"1626","No",NA,NA,16,"Conservative",NA,"No","No","Retired"
"1627","No",NA,NA,12,"Moderate",NA,"Yes","No","Keeping house"
"1628",NA,0,2,13,"Extremely liberal","Strongly agree","No","Yes","Working parttime"
"1629","No",0,1,11,"Slghtly conservative",NA,NA,NA,"School"
"1630",NA,0,1,12,"Moderate","Agree",NA,NA,"Working fulltime"
"1631",NA,0,0,12,"Moderate","Agree",NA,NA,"Keeping house"
"1632","No",NA,NA,12,"Extremely liberal",NA,NA,NA,"Working fulltime"
"1633","No",0,0,12,"Moderate",NA,NA,NA,"Retired"
"1634","No",NA,NA,13,"Moderate",NA,"No","No","Retired"
"1635",NA,0,7,14,"Slghtly conservative","Agree","Yes","Yes","Working fulltime"
"1636",NA,NA,NA,8,"Slghtly conservative","Strongly agree",NA,NA,"Other"
"1637","No",0,5,18,"Slightly liberal",NA,"No","No","Working fulltime"
"1638",NA,2,0,12,"Moderate","Disagree",NA,NA,"Retired"
"1639","No",NA,NA,8,"Slightly liberal",NA,NA,NA,"Retired"
"1640","Yes",0,0,12,"Moderate",NA,NA,NA,"Working fulltime"
"1641","Does not apply (i do not have a job/superior/co-worker)",NA,NA,8,"Slghtly conservative",NA,NA,NA,"Other"
"1642",NA,0,1,11,"Moderate","Agree",NA,NA,"Working fulltime"
"1643",NA,0,0,16,"Extrmly conservative","Agree",NA,NA,"Retired"
"1644",NA,0,1,15,"Moderate","Agree",NA,NA,"Working fulltime"
"1645",NA,0,6,14,"Conservative","Strongly agree","No","No","Working parttime"
"1646",NA,0,15,19,"Conservative","Disagree","No","No","Retired"
"1647",NA,0,1,12,"Slghtly conservative","Disagree",NA,NA,"Retired"
"1648","No",NA,NA,12,"Moderate",NA,NA,NA,"Retired"
"1649",NA,NA,NA,13,"Conservative","Agree",NA,NA,"Retired"
"1650",NA,30,0,12,"Liberal","Agree",NA,NA,"Retired"
"1651","No",NA,NA,9,"Slghtly conservative",NA,"No","No","Working parttime"
"1652","No",NA,NA,12,NA,NA,NA,NA,"Keeping house"
"1653","No",NA,NA,12,"Conservative",NA,NA,NA,"Retired"
"1654",NA,0,1,12,"Conservative","Agree",NA,NA,"Working parttime"
"1655","No",NA,NA,16,"Conservative",NA,"Yes","No","Working fulltime"
"1656","No",NA,NA,12,"Slghtly conservative",NA,NA,NA,"Retired"
"1657",NA,0,0,12,"Moderate","Agree",NA,NA,"Working fulltime"
"1658","No",NA,NA,14,"Moderate",NA,"Yes","Yes","Working fulltime"
"1659","No",0,7,15,"Liberal",NA,"No","No","Other"
"1660",NA,0,0,18,"Slightly liberal","Strongly agree",NA,NA,"Keeping house"
"1661",NA,0,0,12,"Moderate","Agree","No","No","Other"
"1662",NA,0,2,16,"Conservative","Disagree",NA,NA,"Working parttime"
"1663",NA,0,10,13,"Liberal","Strongly agree",NA,NA,"Working fulltime"
"1664","No",NA,NA,16,"Moderate",NA,"No","No","Working fulltime"
"1665",NA,0,2,16,"Moderate","Agree","No","No","Working fulltime"
"1666","No",NA,NA,13,NA,NA,"No","No","Working fulltime"
"1667",NA,30,3,20,"Liberal","Agree",NA,NA,"Keeping house"
"1668","No",NA,NA,16,"Moderate",NA,"No","No","School"
"1669","No",NA,NA,18,"Conservative",NA,"Yes","Yes","Working fulltime"
"1670",NA,0,5,15,"Slightly liberal","Agree","Yes","Yes","Working parttime"
"1671","No",NA,NA,16,"Slightly liberal",NA,"No","No","Working fulltime"
"1672","No",0,3,16,"Liberal",NA,"No","No","Working parttime"
"1673",NA,0,14,16,"Extremely liberal","Strongly agree",NA,NA,"Keeping house"
"1674","No",NA,NA,14,"Moderate",NA,"No","No","School"
"1675",NA,0,0,12,NA,"Agree",NA,NA,"Working fulltime"
"1676","Yes",NA,NA,16,"Slightly liberal",NA,"Yes","No","Working fulltime"
"1677",NA,30,0,13,"Conservative","Agree","No","Yes","Working fulltime"
"1678","No",NA,NA,18,"Liberal",NA,"No","No","Working fulltime"
"1679",NA,0,0,8,NA,"Disagree",NA,NA,"Working fulltime"
"1680","No",NA,NA,20,"Moderate",NA,"No","No","Retired"
"1681",NA,0,0,10,"Extremely liberal","Disagree",NA,NA,"Working parttime"
"1682",NA,0,1,15,"Extremely liberal","Agree",NA,NA,"Working parttime"
"1683",NA,0,2,16,"Conservative","Agree",NA,NA,"Retired"
"1684","No",NA,NA,10,NA,NA,NA,NA,"Retired"
"1685",NA,0,2,17,"Slghtly conservative","Agree","No","No","Working fulltime"
"1686",NA,NA,NA,12,"Extrmly conservative","Strongly disagree",NA,NA,"Working parttime"
"1687","No",NA,NA,12,"Conservative",NA,"No","No","Working fulltime"
"1688",NA,30,1,12,"Moderate","Disagree","No","No","Working fulltime"
"1689",NA,0,2,13,"Conservative","Agree",NA,NA,"Retired"
"1690","No",NA,NA,12,"Moderate",NA,"Yes","Yes","Working parttime"
"1691",NA,0,35,16,"Conservative","Strongly agree",NA,NA,"Working fulltime"
"1692",NA,0,8,16,"Moderate","Agree",NA,NA,"Working fulltime"
"1693","No",NA,NA,14,"Liberal",NA,"Yes","Yes","School"
"1694",NA,NA,NA,13,"Moderate","Agree",NA,NA,"Keeping house"
"1695",NA,0,0,11,"Slightly liberal","Agree",NA,NA,"Retired"
"1696","No",30,0,12,"Moderate",NA,"No","No","Working fulltime"
"1697",NA,NA,NA,12,"Moderate","Agree",NA,NA,"Retired"
"1698","No",0,1,14,"Moderate",NA,"No","Yes","Keeping house"
"1699","No",NA,NA,11,"Moderate",NA,"No","No","Working fulltime"
"1700","No",NA,NA,16,"Liberal",NA,NA,NA,"Working fulltime"
"1701","Does not apply (i do not have a job/superior/co-worker)",0,0,11,"Conservative",NA,"No","No","School"
"1702",NA,0,1,14,"Liberal","Agree",NA,NA,"Retired"
"1703","No",NA,NA,9,"Extrmly conservative",NA,"No","No","Working fulltime"
"1704",NA,0,1,15,"Slightly liberal","Agree",NA,NA,"Unempl, laid off"
"1705","Yes",NA,NA,18,"Moderate",NA,"No","No","Keeping house"
"1706",NA,0,40,16,"Conservative","Agree",NA,NA,"Working fulltime"
"1707",NA,0,1,13,"Slightly liberal","Strongly agree","Yes","Yes","School"
"1708",NA,0,0,9,"Moderate","Agree",NA,NA,"Other"
"1709",NA,0,1,14,"Extremely liberal","Agree","No","No","Unempl, laid off"
"1710",NA,0,1,14,"Conservative","Disagree",NA,NA,"Working fulltime"
"1711","No",0,10,12,"Moderate",NA,"No","No","Temp not working"
"1712","No",NA,NA,13,"Moderate",NA,NA,NA,"Retired"
"1713",NA,0,4,12,"Moderate","Agree",NA,NA,"Unempl, laid off"
"1714","No",0,0,12,"Moderate",NA,"Yes","No","Working fulltime"
"1715","No",NA,NA,16,"Conservative",NA,NA,NA,"Working fulltime"
"1716",NA,0,2,14,NA,"Strongly agree","No","No","Working fulltime"
"1717",NA,0,2,16,"Slghtly conservative","Agree",NA,NA,"Temp not working"
"1718","No",NA,NA,14,"Moderate",NA,"No","No","Working fulltime"
"1719","No",NA,NA,12,"Slghtly conservative",NA,"No","No","Unempl, laid off"
"1720",NA,NA,NA,6,"Conservative","Disagree",NA,NA,"Retired"
"1721","No",NA,NA,12,"Moderate",NA,NA,NA,"Working fulltime"
"1722",NA,0,1,12,"Conservative","Agree",NA,NA,"Keeping house"
"1723",NA,0,0,12,"Extrmly conservative","Disagree",NA,NA,"Working fulltime"
"1724","No",NA,NA,12,"Moderate",NA,"Yes","Yes","School"
"1725","No",0,15,12,"Moderate",NA,"Yes","Yes","Working parttime"
"1726","No",NA,NA,14,"Moderate",NA,"No","No","Working fulltime"
"1727",NA,0,2,12,"Moderate","Agree",NA,NA,"Retired"
"1728",NA,0,1,12,"Slghtly conservative","Agree",NA,NA,"Retired"
"1729",NA,0,2,16,"Slightly liberal","Strongly disagree",NA,NA,"Retired"
"1730","No",NA,NA,14,"Moderate",NA,"No","No","Working fulltime"
"1731","No",0,0,14,"Slghtly conservative",NA,NA,NA,"Retired"
"1732","No",NA,NA,12,NA,NA,NA,NA,"Working parttime"
"1733",NA,NA,NA,8,"Extremely liberal","Disagree",NA,NA,"Retired"
"1734","No",NA,NA,15,"Moderate",NA,NA,NA,"Retired"
"1735",NA,0,5,14,"Slightly liberal","Agree",NA,NA,"Working fulltime"
"1736","No",0,2,8,"Moderate",NA,NA,NA,"Retired"
"1737",NA,0,9,12,"Conservative","Agree",NA,NA,"Working fulltime"
"1738",NA,0,25,13,"Moderate","Agree","Yes","Yes","Working fulltime"
"1739","No",NA,NA,17,"Moderate",NA,NA,NA,"Retired"
"1740","No",0,2,16,"Moderate",NA,"No","No","Working fulltime"
"1741","No",NA,NA,12,"Liberal",NA,"No","No","Retired"
"1742",NA,30,1,13,"Conservative","Disagree","No","No","Retired"
"1743",NA,0,2,12,"Liberal","Strongly agree",NA,NA,"Temp not working"
"1744","No",NA,NA,15,"Conservative",NA,NA,NA,"Retired"
"1745",NA,0,30,6,"Moderate","Agree","No","No","Working fulltime"
"1746",NA,0,30,16,"Conservative","Strongly agree",NA,NA,"Working fulltime"
"1747",NA,0,2,13,"Slightly liberal","Disagree","No","No","Retired"
"1748","No",0,1,12,"Moderate",NA,"No","No","Working fulltime"
"1749","No",NA,NA,18,"Conservative",NA,"No","Yes","Working fulltime"
"1750",NA,0,20,14,"Conservative","Agree","No","Yes","Unempl, laid off"
"1751",NA,0,2,14,"Conservative","Agree",NA,NA,"Keeping house"
"1752","No",NA,NA,14,"Moderate",NA,"No","No","Working fulltime"
"1753",NA,0,40,16,"Slghtly conservative","Agree",NA,NA,"Working fulltime"
"1754","No",NA,NA,14,"Moderate",NA,"No","Yes","Keeping house"
"1755","Yes",NA,NA,16,"Slightly liberal",NA,"No","No","Working fulltime"
"1756","No",NA,NA,14,"Extremely liberal",NA,"No","No","Other"
"1757",NA,0,0,12,"Slghtly conservative","Strongly agree",NA,NA,"Working fulltime"
"1758",NA,0,6,20,"Moderate","Strongly agree",NA,NA,"Working fulltime"
"1759",NA,NA,NA,7,"Extrmly conservative","Disagree",NA,NA,"Other"
"1760","Does not apply (i do not have a job/superior/co-worker)",NA,NA,12,"Slghtly conservative",NA,"No","No","Retired"
"1761",NA,0,4,8,"Conservative","Agree","No","No","School"
"1762","No",NA,NA,5,"Extremely liberal",NA,NA,NA,"Other"
"1763",NA,0,5,15,"Moderate","Agree",NA,NA,"Keeping house"
"1764","No",NA,NA,14,"Slightly liberal",NA,NA,NA,"Working fulltime"
"1765",NA,NA,NA,12,"Extremely liberal","Strongly agree",NA,NA,"Keeping house"
"1766","No",NA,NA,12,"Liberal",NA,"No","No","Working fulltime"
"1767","No",NA,NA,12,"Liberal",NA,"Yes","No","Other"
"1768","No",NA,NA,12,"Slghtly conservative",NA,NA,NA,"Working fulltime"
"1769","No",NA,NA,13,"Moderate",NA,"No","No","Retired"
"1770",NA,NA,NA,8,"Slightly liberal","Agree",NA,NA,"Retired"
"1771","Does not apply (i do not have a job/superior/co-worker)",NA,NA,16,"Slightly liberal",NA,"No","No","Retired"
"1772",NA,0,1,14,"Slightly liberal","Agree","No","Yes","Working fulltime"
"1773","No",NA,NA,16,"Slightly liberal",NA,NA,NA,"Working fulltime"
"1774",NA,0,2,16,"Moderate","Strongly agree",NA,NA,"Working fulltime"
"1775","No",0,6,14,"Conservative",NA,"No","No","Working fulltime"
"1776",NA,0,1,14,"Moderate","Agree",NA,NA,"Working fulltime"
"1777","Yes",NA,NA,12,"Conservative",NA,"Yes","Yes","Working fulltime"
"1778",NA,0,0,12,"Liberal","Disagree","No","No","Keeping house"
"1779",NA,0,20,16,"Moderate","Agree",NA,NA,"Working parttime"
"1780","Yes",NA,NA,12,"Moderate",NA,NA,NA,"Working parttime"
"1781","No",NA,NA,14,"Slghtly conservative",NA,"Yes","Yes","Working fulltime"
"1782",NA,0,2,18,"Conservative","Strongly agree",NA,NA,"Working parttime"
"1783","Yes",NA,NA,17,"Conservative",NA,"Yes","Yes","Retired"
"1784","No",0,1,17,"Liberal",NA,NA,NA,"Retired"
"1785",NA,0,0,14,"Slightly liberal","Agree",NA,NA,"Keeping house"
"1786",NA,0,3,12,"Moderate","Strongly agree","No","No","Working fulltime"
"1787",NA,30,0,12,"Slghtly conservative","Strongly agree",NA,NA,"Working fulltime"
"1788","Does not apply (i do not have a job/superior/co-worker)",NA,NA,14,"Moderate",NA,"No","No","Keeping house"
"1789",NA,0,0,12,"Moderate","Strongly agree","No","No","Keeping house"
"1790","No",0,1,13,"Moderate",NA,"No","Yes","Keeping house"
"1791","No",NA,NA,13,"Liberal",NA,"Yes","Yes","School"
"1792",NA,0,15,15,"Moderate","Agree","No","No","Working fulltime"
"1793",NA,0,10,12,"Slightly liberal","Disagree","Yes","Yes","Unempl, laid off"
"1794",NA,0,2,18,"Conservative","Agree",NA,NA,"Retired"
"1795","Yes",NA,NA,12,"Conservative",NA,"Yes","No","Keeping house"
"1796",NA,0,3,16,"Moderate","Strongly agree",NA,NA,"Retired"
"1797","No",0,4,12,"Extrmly conservative",NA,"No","Yes","Temp not working"
"1798",NA,0,6,14,"Conservative","Agree",NA,NA,"Working fulltime"
"1799","No",NA,NA,15,"Slghtly conservative",NA,"No","Yes","Working fulltime"
"1800",NA,0,0,16,"Extremely liberal","Strongly agree",NA,NA,"Retired"
"1801",NA,0,2,12,"Slghtly conservative","Disagree",NA,NA,"Working fulltime"
"1802","No",0,10,16,"Liberal",NA,"No","No","Working fulltime"
"1803","No",NA,NA,16,"Moderate",NA,NA,NA,"Retired"
"1804","No",NA,NA,18,"Extremely liberal",NA,"No","No","Working parttime"
"1805","No",0,5,12,"Conservative",NA,"No","No","Retired"
"1806",NA,20,0,12,"Slghtly conservative","Agree","No","No","Retired"
"1807","Yes",NA,NA,16,"Moderate",NA,"No","No","Working fulltime"
"1808",NA,0,20,18,"Moderate","Agree","Yes","Yes","Working fulltime"
"1809","No",NA,NA,12,"Slightly liberal",NA,"No","No","Unempl, laid off"
"1810",NA,0,3,16,"Liberal","Agree",NA,NA,"Working fulltime"
"1811",NA,NA,NA,18,"Moderate","Agree",NA,NA,"Retired"
"1812","No",NA,NA,14,"Conservative",NA,"No","Yes","Working fulltime"
"1813","No",NA,NA,14,"Moderate",NA,NA,NA,"Working parttime"
"1814",NA,0,25,13,"Conservative","Strongly agree","Yes","No","Working fulltime"
"1815","No",NA,NA,14,"Liberal",NA,"No","Yes","Retired"
"1816","No",0,2,12,"Slightly liberal",NA,"No","Yes","Working fulltime"
"1817",NA,0,1,12,"Conservative","Agree",NA,NA,"Keeping house"
"1818",NA,0,4,12,"Slghtly conservative","Disagree",NA,NA,"Other"
"1819","No",NA,NA,12,"Conservative",NA,NA,NA,"Retired"
"1820",NA,30,3,20,"Conservative","Agree",NA,NA,"Retired"
"1821","No",NA,NA,16,"Moderate",NA,"No","Yes","Keeping house"
"1822","Yes",30,1,12,"Slghtly conservative",NA,"No","No","Working fulltime"
"1823",NA,0,1,14,"Conservative","Agree",NA,NA,"Unempl, laid off"
